MSc Advanced Mechanical Engineering	University of Sheffield	Department of Mechanical Engineering	Full time	Strengthen your knowledge and understanding of mechanical engineering. Choose from a wide selection of optional modules to tailor your studies to your interests.This highly flexible course is designed to strengthen your knowledge and understanding of mechanical engineering. It offers a wide selection of optional modules, allowing you to tailor your studies to reflect your interests, and graduates go on to work in many areas of engineering. You’ll also have the chance to further explore a subject that interests you through your individual research project.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Sheffield	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-advanced-mechanical-engineering/?i348d604c27223Processing file: course_1013.tsv
MSc Aerospace Engineering	University of Sheffield	Department of Interdisciplinary Engineering	Full time	A carefully designed conversion course for engineering graduates looking to specialise in aerospace.This is a fully immersive conversion course for engineering graduates, drawing upon expertise from six departments in the Faculties of Engineering and Science, as well as the University’s Management School. There are close ties with some of the world’s leading aerospace companies.Alongside traditional aeronautical subjects such as materials, structures, aerodynamics and propulsion necessary for the design of high-speed flight and lightweight aircraft, you'll also study concepts of systems integration and flight control. These are essential to the production of more efficient and environmentally friendly aircraft and aerospace systems.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Sheffield	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-aerospace-engineering/?i348d7872c53328Processing file: course_1014.tsv
Control Systems Engineering	University of Padua	School of Engineering	Full time	TheMaster’s degree in Control Systems Engineeringaims at training engineers with the ability to model, analyze and control the behavior of a wide array of robotics, industrial, financial, biological and information systems and networks. Particular emphasis is placed on learning and design methods that employ the best available data analysis, artificial intelligence and optimization methods.	October	Our tuition fees will not exceed 2700 euros per year. Scholarship and fee waivers are available for international students, for more information visit our website.	MSc	2 years	Padua	Italy	On Campus	https://www.findamasters.com/masters-degrees/course/control-systems-engineering/?i1283d7794c59494Processing file: course_1024.tsv
Bioprocess Engineering MSc by Research	Swansea University	School of Engineering and Applied Sciences	Full time	From authoring definitive text books on chemical engineering to finding solutions to the world's water shortages, Swansea University has a proud tradition delivering pioneering innovative process engineering solutions.Our research builds on established process engineering areas with application to energy, health, food, water and the environment.There is a wide range of research at Swansea University. This includes:	October, January	Please visit our website for the Bioprocess Engineering research programme fee information.	MSc,Research Only	1 year full-time; 2 years part-time	Swansea	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/bioprocess-engineering-msc-by-research/?i231d8819c32542Processing file: course_1110.tsv
MSc Biomedical Engineering	University of Sheffield	Department of Bioengineering	Full time	Our MSc is designed to provide you with all of the necessary technical knowledge, expertise and transferable skills to succeed in one of the fastest growing engineering disciplines.Biomedical engineering (or bioengineering) is a multidisciplinary field that combines biology and engineering, and which allows you to apply engineering principles to medicine and healthcare.This unique course combines biomaterials, imaging andin silicomedicine. It gives you the medical background, specialist knowledge, and theoretical and practical skills you’ll need to integrate biology and medicine with engineering and ultimately solve problems related to living systems.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Sheffield	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-biomedical-engineering/?i348d8720c67205Processing file: course_1174.tsv
MSc Civil Engineering and Management	University of Sheffield	Department of Civil and Structural Engineering	Full time	This academically rigorous, multidisciplinary course will build your technical civil engineering expertise and management skills. We'll empower you to manage sustainable and complex construction projects and become a future leader in the modern construction industry.Being able to manage complicated civil engineering systems efficiently is an important part of industrial practice, especially in light of the global push to reduce carbon emissions.This course integrates a strong technical background with the fundamentals of construction management. The management aspects have a strong contextual grounding in the civil and structural engineering profession, which will be taught via directly applicable examples.	September	Please see the university website for further information on fees for this course.	MSc	1 year full-time	Sheffield	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-civil-engineering-and-management/?i348d601c58073Processing file: course_1179.tsv
Biosystems Engineering MSc	Wageningen University & Research	Life Sciences	Full time	The master's programme Biosystems Engineering focuses on the development of technology for the production, processing and storage of food and agricultural non-food, management of the rural area, renewable resources and agro-industrial production chains. In all cases it concerns innovation and sustainable technology. The interaction between technology, plants, animals, the environment and society plays a central role. Developments in society at large often involve the development of new technology. The adoption of new technology and its integration within existing processes therefore requires special attention. This is why the programme also offers a course in technology assessment.	September	Please see the university website for further information on fees for this course.	MSc	2 years	Wageningen	Netherlands	On Campus	https://www.findamasters.com/masters-degrees/course/biosystems-engineering-msc/?i883d5909c20421Processing file: course_1220.tsv
Data Science and Engineering - MSc	EURECOM	EURECOM Master of Science	Full time	The "Big Data" phenomenon is rooted in the field of data science and engineering, which aims at developing both computer and mathematical tools for data storage and processing. An increasing volume of data are daily produced by modern day industrial processes (in fields such as energy, intelligent transport systems, aviation industry and many others...), and fuelled by the rise of multimedia tools and the Internet of Things in our daily life.	October	Please see the university website for further information on fees for this course.	MSc	2 years full time	Biot	France	On Campus	https://www.findamasters.com/masters-degrees/course/data-science-and-engineering-msc/?i2722d7864c51689Processing file: course_129.tsv
Data Science and Information Engineering	Linköping University	Graduate School	Full time	We are living in an increasingly networked society. The emergence of new applications such as augmented, virtual and extended reality, and the Internet of Things, are set to revolutionise the coming decades. The exponential growth in the capability of artificial intelligence and machine learning, and the proliferation of wireless communication devices, require skilled engineers to drive technological development and inspire new inventions. This programme provides tools to develop these new technologies. It is highly competitive – you must possess advanced skills in mathematics, programming, and a dedication to your education.	August	Citizens from within the EU/EEA and Switzerland: No tuition fees All others: 280,600 SEK (approx. 25,500 USD/ 24,200 Euro)	MSc	Two years	Linkoping	Sweden	On Campus	https://www.findamasters.com/masters-degrees/course/data-science-and-information-engineering/?i811d6071c25037Processing file: course_1301.tsv
Defence and Security Programme (Engineering)	Cranfield University	Defence and Security	Part time	The Defence and Security Programmeoffers three degree streams to provide blended, flexible education suitable for a range of learners engaged in the complex, evolving defence and security environment.Who is it for?This course is intended for the following range of students:	September	MSc Part-time £25,000PgDip Part-time £19,000PgCert Part-time £5,000MSc Capstone Part-time £10,000PgCert Capstone Part-time £5,000	MSc,PGDip,PGCert	MSc: three years, PgDip and PgCert: two years	Bedford	United Kingdom		https://www.findamasters.com/masters-degrees/course/defence-and-security-programme-engineering/?i50d8485c55823Processing file: course_1379.tsv
