courseName	universityName	facultyName	isItFullTime	description	startDate	fees	modality	duration	city	country	administration	url
MedTech Innovation & Entrepreneurship MSc	King’s College London	King’s Business School	Full time	The MSc in MedTech Innovation and Entrepreneurship brings together talented students and professionals from a range of backgrounds across the spectrum of health, engineering, design, business and entrepreneurship, who are committed to creating innovation in health and making the world a healthier place.The programme builds on King’s strengths in healthcare, health research, healthcare technologies, design, engineering, business and entrepreneurship to teach both crucial business knowledge and the art and science of developing novel medical technologies that address an unmet clinical need.	September	Please see the university website for further information on fees for this course.	MSc	1 year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/medtech-innovation-and-entrepreneurship-msc/?i132d7816c67578Processing file: course_1001.tsv
Microbiology and Microbiotechnology - MSc	University of Helsinki	International Masters Degree Programmes	Full time	Goal of the pro­grammeWhy are microbes the most important group of organisms on our planet? How is knowledge of microbiology applied in medicine and industry, or in food production? What research techniques are used to study viruses, bacteria and other microbes? These are important questions, and you can find answers to these and many others in the study of Microbiology and microbial biotechnology.Upon completing your degree, you will:	September	Tuition fee per year (non-EU/EEA students): 18000 €	MSc	2 years	Helsinki	Finland	On Campus	https://www.findamasters.com/masters-degrees/course/microbiology-and-microbiotechnology-msc/?i312d6223c45190Processing file: course_1002.tsv
Microbiome in Health & Disease MSc	King’s College London	Faculty of Dentistry, Oral & Craniofacial Sciences	Full time	Our Microbiome in Health & Disease MSc provides students with a unique background in all aspects of both analysis of microbiome and determining the role of microbiome in pathology with experience in both computational and experimental techniques.Designed and delivered by the Centre for Host-Microbiome Interactions (CHMI) at King's, the course brings together teaching in systems biology and bioinformatics with molecular biology, microbiology, immunology and	September	Please see the university website for further information on fees for this course.	MSc	Full-time: 1 year	London	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/microbiome-in-health-and-disease-msc/?i132d2850c50276Processing file: course_1003.tsv
MS in Computer Science	University of San Francisco	College of Arts and Sciences	Full time	Develop software. Dive into systems, networking, and distributed programming. Explore algorithms and computer theory. Learn what you need to know to get where you want to	September	Please see the university website for further information on fees for this course.	MSc	2 years	San Francisco	USA	On Campus	https://www.findamasters.com/masters-degrees/course/ms-in-computer-science/?i496d7690c49194Processing file: course_1004.tsv
MSc - Accounting	Durham University	Durham University Business School	Full time	Our innovative MSc Accounting programme sits within Durham’s portfolio of Masters programmes. A one-year full-time programme, it provides an opportunity for you to develop an in-depth understanding of the theory and practice of accounting as well as the critical thinking skills so valued by employers. The MSc in Accounting covers key accounting topics including financial statements and their preparation and analysis, the practical limitations of financial reporting, contemporary and evolving practice in financial and non-financial accounting and reporting, management information for decision-making, and the practice and concepts of auditing.	September	Full Time FeesHome students £14,900 per yearEU students £31,500 per yearIsland students £14,900 per yearInternational students £31,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-accounting/?i67d3385c35063Processing file: course_1005.tsv
MSc - Business Analytics	Durham University	Durham University Business School	Full time	Register your interest to Discover more about Durham!The MSc Business Analytics course is intended to provide premium Masters-level education and training in relevant areas of contemporary business analytics in a supportive research-led interdisciplinary learning environment.The broad aims are:	September	Full Time FeesHome students £33,500 per yearEU students £33,500 per yearIsland students £33,500 per yearInternational students £33,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-business-analytics/?i67d3385c54703Processing file: course_1006.tsv
MSc - Economics	Durham University	Durham University Business School	Full time	Our MSc programmes in Economics will give you the opportunity to equip yourself with the necessary skills and knowledge to pursue a career in economics and related disciplines.The programme consists of a set of core and elective modules, culminating in a practice-based business project or a research-based dissertation.Core and elective modules:You will study:Advanced MacroeconomicsAdvanced MicroeconomicsBased on your prior knowledge and experience you will be streamed to study one of the following module pairings:	September	Full Time FeesHome students £12,900 per yearEU students £24,500 per yearIsland students £12,900 per yearInternational students £24,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-economics/?i67d3385c28299Processing file: course_1007.tsv
MSc - Finance	Durham University	Durham University Business School	Full time	All ourMasters in Financeprogrammes are designed to provide you with rigorous training at the frontier of research, as well as analytical and technical skills that are highly sought after by global employers and, will provide you with a solid foundation if you wish to continue your studies.Our MSc programmes have partnership status with the Chartered Financial Analyst Institute (CFA). It guarantees you benefit from a curriculum of the highest standards and enables you to participate in the CFA Global Investment Research Challenge, as well as CFA employer network events and scholarships.Our Finance programmesMSc FinanceMSc Finance (Accounting and Finance)MSc Finance (Economics and Finance)	September	Full Time FeesHome students £14,900 per yearEU students £31,500 per yearIsland students £14,900 per yearInternational students £31,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-finance/?i67d3385c6195Processing file: course_1008.tsv
MSc - Management	Durham University	Durham University Business School	Full time	OurMSc Managementis ranked 5th in the UK by theFinancial TimesMasters in Management rankings 2019. It is designed to provide you with the tools, techniques and knowledge to succeed in business.The programme consists of a set of core and elective modules, culminating in a practice-based business project or a research-based dissertation.Our focusedMSc in Managementis designed to prepare you for becoming a successful manager. You will cover at an advanced level, the fundamental subjects needed to manage a business within a complex changing environment.	September	Full Time FeesHome students £13,900 per yearEU students £29,500 per yearIsland students £13,900 per yearInternational students £29,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-management/?i67d3385c23961Processing file: course_1009.tsv
MSc - Marketing	Durham University	Durham University Business School	Full time	Marketing touches all aspects of an organisation and helps shape and direct corporate strategy.Durham’sMSc Marketing programmewill equip you with the essential skills and knowledge to excel long-term across all marketing-related careers.	September	Full Time FeesHome students £13,900 per yearEU students £29,500 per yearIsland students £13,900 per yearInternational students £29,500 per year	MSc	1 year full-time	Durham	United Kingdom	On Campus	https://www.findamasters.com/masters-degrees/course/msc-marketing/?i67d3385c4015Processing file: course_100.tsv
